CodigoFamilia,TipoDocumento,RangoEdad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Discapacidad,Estrato,Genero,EstadoBeneficiario,Logro17,PE35,HE20
HID61383494,CC,50-65,CUNDINAMARCA,LA PALMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID80403648,TI,18-29,CUNDINAMARCA,SOACHA,ND,0,Hombre,ACTIVO,NO APLICA,No,No
HID13702526,TI,18-29,CUNDINAMARCA,CARMEN DE CARUPA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID71292503,CC,30-49,CUNDINAMARCA,CARMEN DE CARUPA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID65444096,TI,18-29,CUNDINAMARCA,SASAIMA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID30070736,CC,30-49,CUNDINAMARCA,UBALA,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID14974457,TI,18-29,CUNDINAMARCA,VILLAGOMEZ,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID41098783,CC,>65,CUNDINAMARCA,FUSAGASUGA,NO,1,Mujer,NO ACTIVO,ALCANZADO,No,No
HID54152846,TI,18-29,CUNDINAMARCA,FUSAGASUGA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID86930932,CC,50-65,CUNDINAMARCA,NEMOCON,NO,1,Mujer,NO ACTIVO,ALCANZADO,No,No
HID53291763,CC,18-29,CUNDINAMARCA,SAN BERNARDO,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID18916056,CC,30-49,CUNDINAMARCA,PAIME,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID50616650,CC,>65,CUNDINAMARCA,YACOPI,NO,1,Mujer,ACTIVO,POR ALCANZAR,No,No
HID90109652,TI,18-29,CUNDINAMARCA,PASCA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID66172465,TI,18-29,CUNDINAMARCA,COTA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID70663812,CC,30-49,CUNDINAMARCA,EL COLEGIO,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID93990451,RC,06-17,CUNDINAMARCA,VILLAPINZON,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID55762178,CC,50-65,CUNDINAMARCA,CAJICA,NO,2,Hombre,NO ACTIVO,ALCANZADO,No,No
HID60497720,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,Si
HID20379623,CC,50-65,CUNDINAMARCA,BITUIMA,SI,0,Hombre,ACTIVO,ALCANZADO,Si,No
HID31269911,CC,30-49,CUNDINAMARCA,MADRID,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID30369006,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID85493490,CC,50-65,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID94430838,TI,18-29,CUNDINAMARCA,RICAURTE,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID15614126,TI,18-29,CUNDINAMARCA,GUAYABAL DE SIQUIMA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID64196665,CC,50-65,CUNDINAMARCA,GUADUAS,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID80708589,CC,>65,CUNDINAMARCA,SOACHA,NO,1,Mujer,ACTIVO,ALCANZADO,No,No
HID18981637,CC,50-65,CUNDINAMARCA,CAPARRAPI,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID76332144,CC,50-65,CUNDINAMARCA,NILO,NO,2,Mujer,NO ACTIVO,ALCANZADO,No,No
HID36468835,TI,18-29,CUNDINAMARCA,NARIÑO,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID14442516,RC,06-17,CUNDINAMARCA,SUBACHOQUE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID24344316,CC,50-65,CUNDINAMARCA,TENA,ND,2,Hombre,ACTIVO,ALCANZADO,No,No
HID47194686,CC,50-65,CUNDINAMARCA,FUSAGASUGA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID36817004,CC,30-49,CUNDINAMARCA,BELTRAN,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID77891201,CC,50-65,CUNDINAMARCA,MEDINA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID63119825,TI,18-29,CUNDINAMARCA,CHIA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID56943869,CC,50-65,CUNDINAMARCA,SIBATE,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID28380518,CC,30-49,CUNDINAMARCA,ZIPACON,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID69893136,CC,30-49,CUNDINAMARCA,GIRARDOT,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID16508044,CC,18-29,CUNDINAMARCA,LA MESA,NO,0,Hombre,NO ACTIVO,ALCANZADO,No,No
HID39110705,TI,06-17,CUNDINAMARCA,NARIÑO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID11298458,TI,18-29,CUNDINAMARCA,SASAIMA,SI,0,Mujer,ACTIVO,NO APLICA,Si,No
HID99690086,CC,>65,CUNDINAMARCA,PANDI,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID59201031,CC,30-49,CUNDINAMARCA,APULO,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID79924706,RC,06-17,CUNDINAMARCA,RICAURTE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID62882242,CC,18-29,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID70630562,TI,06-17,CUNDINAMARCA,CABRERA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID45312289,CC,>65,CUNDINAMARCA,GAMA,NO,1,Mujer,ACTIVO,POR ALCANZAR,No,No
HID88966453,CC,50-65,CUNDINAMARCA,SOACHA,SI,1,Hombre,ACTIVO,POR ALCANZAR,Si,No
HID62442975,CC,30-49,CUNDINAMARCA,CABRERA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID55227330,TI,18-29,CUNDINAMARCA,CABRERA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID27289983,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID61420935,CC,50-65,CUNDINAMARCA,SUESCA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID16286093,TI,18-29,CUNDINAMARCA,TOCAIMA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID52257968,CC,30-49,CUNDINAMARCA,TOCAIMA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID18698072,CC,>65,CUNDINAMARCA,VIANI,NO,2,Hombre,ACTIVO,ALCANZADO,No,No
HID89813753,CC,18-29,CUNDINAMARCA,UNE,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID54666017,CC,50-65,CUNDINAMARCA,CUCUNUBA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID20848912,TI,18-29,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID65741857,CC,50-65,CUNDINAMARCA,FUSAGASUGA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID79510570,TI,18-29,CUNDINAMARCA,GIRARDOT,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID55037965,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID72842632,TI,06-17,CUNDINAMARCA,QUIPILE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID84188220,CC,50-65,CUNDINAMARCA,YACOPI,NO,2,Hombre,ACTIVO,ALCANZADO,No,No
HID21012426,CC,>65,CUNDINAMARCA,TOCAIMA,NO,1,Hombre,ACTIVO,POR ALCANZAR,No,No
HID44801098,CC,18-29,CUNDINAMARCA,EL COLEGIO,ND,2,Mujer,ACTIVO,ALCANZADO,No,No
HID27457627,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,Si
HID72386384,CC,>65,CUNDINAMARCA,COTA,NO,0,Hombre,ACTIVO,POR ALCANZAR,No,No
HID54986203,CC,>65,CUNDINAMARCA,UBALA,NO,0,Mujer,ACTIVO,POR ALCANZAR,No,No
HID25615297,CC,50-65,CUNDINAMARCA,MADRID,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID99218182,CC,18-29,CUNDINAMARCA,SILVANIA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID41123914,CC,>65,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID13461273,CC,50-65,CUNDINAMARCA,GUACHETA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID71463729,TI,18-29,CUNDINAMARCA,CHOCONTA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID97009959,CC,>65,CUNDINAMARCA,CHIPAQUE,NO,1,Mujer,ACTIVO,ALCANZADO,No,No
HID50101210,CC,30-49,CUNDINAMARCA,SASAIMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID19561190,CC,>65,CUNDINAMARCA,SOACHA,NO,0,Mujer,NO ACTIVO,ALCANZADO,No,No
HID56839771,CC,30-49,CUNDINAMARCA,FUSAGASUGA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID81656280,CC,50-65,CUNDINAMARCA,AGUA DE DIOS,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID42937155,RC,06-17,CUNDINAMARCA,RICAURTE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID99930303,CC,30-49,CUNDINAMARCA,MACHETA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID78076989,CC,30-49,CUNDINAMARCA,SOACHA,NO,99,Mujer,ACTIVO,ALCANZADO,No,Si
HID67397428,CC,>65,CUNDINAMARCA,GIRARDOT,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID38839774,RC,06-17,CUNDINAMARCA,SAN BERNARDO,NO,1,Hombre,ACTIVO,NO APLICA,No,No
HID71617123,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID44760104,CC,30-49,CUNDINAMARCA,FUNZA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID33019036,CC,30-49,CUNDINAMARCA,UNE,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID15154454,RC,06-17,CUNDINAMARCA,RICAURTE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID21927532,RC,06-17,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID66690822,TI,18-29,CUNDINAMARCA,SIMIJACA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID19778773,TI,06-17,CUNDINAMARCA,GAMA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID80431524,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID73069506,CC,50-65,CUNDINAMARCA,CARMEN DE CARUPA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID72899493,CC,>65,CUNDINAMARCA,TOCAIMA,NO,1,Mujer,NO ACTIVO,POR ALCANZAR,No,No
HID97588450,CC,30-49,CUNDINAMARCA,GIRARDOT,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID60406719,CC,30-49,CUNDINAMARCA,SESQUILE,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID44627138,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID49176678,CC,50-65,CUNDINAMARCA,NIMAIMA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID69760080,TI,18-29,CUNDINAMARCA,SIMIJACA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID19928540,CC,50-65,CUNDINAMARCA,LA PALMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID92848755,CC,>65,CUNDINAMARCA,SOACHA,ND,1,Hombre,ACTIVO,POR ALCANZAR,No,No
HID96327986,CC,>65,CUNDINAMARCA,FUSAGASUGA,NO,1,Hombre,NO ACTIVO,ALCANZADO,No,No
HID14753793,RC,06-17,CUNDINAMARCA,PARATEBUENO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID72538396,CC,>65,CUNDINAMARCA,TOCAIMA,SI,0,Hombre,ACTIVO,ALCANZADO,Si,No
HID81621299,TI,18-29,CUNDINAMARCA,PACHO,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID66830027,TI,18-29,CUNDINAMARCA,TOCAIMA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID74105343,CC,>65,CUNDINAMARCA,FUSAGASUGA,NO,1,Hombre,NO ACTIVO,ALCANZADO,No,No
HID56916205,CC,50-65,CUNDINAMARCA,VILLAPINZON,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID66264260,TI,18-29,CUNDINAMARCA,PACHO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID78001824,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Mujer,NO ACTIVO,ALCANZADO,No,No
HID96021690,TI,18-29,CUNDINAMARCA,CABRERA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID34495835,TI,18-29,CUNDINAMARCA,FUSAGASUGA,NO,0,Mujer,ACTIVO,NO APLICA,No,Si
HID44579165,CC,50-65,CUNDINAMARCA,FUSAGASUGA,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID70145814,TI,18-29,CUNDINAMARCA,VILLETA,NO,1,Mujer,ACTIVO,NO APLICA,No,No
HID68730716,CC,30-49,CUNDINAMARCA,FUSAGASUGA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID85979218,CC,50-65,CUNDINAMARCA,SAN JUAN DE RIO SECO,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID40477643,CC,30-49,CUNDINAMARCA,ZIPAQUIRA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID50682738,CC,30-49,CUNDINAMARCA,GUAYABAL DE SIQUIMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID20116851,CC,18-29,CUNDINAMARCA,UNE,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID35884396,CC,>65,CUNDINAMARCA,GUACHETA,SI,3,Hombre,NO ACTIVO,ALCANZADO,Si,No
HID34580331,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID95513590,CC,>65,CUNDINAMARCA,VIOTA,NO,0,Hombre,NO ACTIVO,ALCANZADO,No,No
HID15382317,TI,06-17,CUNDINAMARCA,VILLAPINZON,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID90879268,CC,30-49,CUNDINAMARCA,GACHETA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID65266661,CC,>65,CUNDINAMARCA,GUADUAS,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID68696485,TI,18-29,CUNDINAMARCA,ARBELAEZ,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID50509291,CC,30-49,CUNDINAMARCA,PARATEBUENO,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID88778488,TI,18-29,CUNDINAMARCA,FACATATIVA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID83592412,TI,18-29,CUNDINAMARCA,VILLETA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID87134832,CC,50-65,CUNDINAMARCA,FOMEQUE,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID58045120,RC,06-17,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,NO APLICA,No,Si
HID21400521,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID58398656,TI,18-29,CUNDINAMARCA,CARMEN DE CARUPA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID83330146,CC,>65,CUNDINAMARCA,PACHO,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID65161950,TI,18-29,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID36222172,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID72530345,TI,18-29,CUNDINAMARCA,LENGUAZAQUE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID76802625,CC,30-49,CUNDINAMARCA,VILLAPINZON,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID96257695,TI,18-29,CUNDINAMARCA,FACATATIVA,NO,0,Mujer,ACTIVO,POR ALCANZAR,No,No
HID24142749,CC,30-49,CUNDINAMARCA,SILVANIA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID46398220,RC,06-17,CUNDINAMARCA,SAN BERNARDO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID46398220,RC,06-17,CUNDINAMARCA,SAN BERNARDO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID98854409,TI,18-29,CUNDINAMARCA,SAN JUAN DE RIO SECO,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID11716010,CC,>65,CUNDINAMARCA,SILVANIA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID38481680,CC,18-29,CUNDINAMARCA,MADRID,NO,2,Hombre,NO ACTIVO,ALCANZADO,No,No
HID16499585,TI,18-29,CUNDINAMARCA,GUASCA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID32817814,TI,18-29,CUNDINAMARCA,LENGUAZAQUE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID44991090,TI,06-17,CUNDINAMARCA,RICAURTE,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID29668506,CC,>65,CUNDINAMARCA,VILLAGOMEZ,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID90449912,CC,50-65,CUNDINAMARCA,SESQUILE,NO,2,Mujer,ACTIVO,ALCANZADO,No,No
HID85260459,CC,30-49,CUNDINAMARCA,GUTIERREZ,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID10110360,CC,50-65,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,POR ALCANZAR,No,No
HID90737057,CC,18-29,CUNDINAMARCA,TOCAIMA,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID62455520,CC,>65,CUNDINAMARCA,SOACHA,ND,0,Hombre,ACTIVO,POR ALCANZAR,No,No
HID94004800,TI,18-29,CUNDINAMARCA,SIBATE,NO,0,Hombre,NO ACTIVO,ALCANZADO,No,No
HID86717182,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID16608509,CC,50-65,CUNDINAMARCA,MOSQUERA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID28802142,CC,18-29,CUNDINAMARCA,VILLAPINZON,SI,0,Hombre,ACTIVO,POR ALCANZAR,Si,No
HID23050231,TI,06-17,CUNDINAMARCA,LA PEÑA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
